2019-10-08 11:26:36.291 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - Starting HardwaredataApplication on DESKTOP-JOS257J with PID 10916 (D:\JavaObject\hardwaredata\target\classes started by DongYe in D:\JavaObject\hardwaredata)
2019-10-08 11:26:36.293 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - The following profiles are active: test
2019-10-08 11:26:37.004 -> [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9000 (http)
2019-10-08 11:26:37.012 -> [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9000"]
2019-10-08 11:26:37.019 -> [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-10-08 11:26:37.019 -> [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.22]
2019-10-08 11:26:37.093 -> [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-10-08 11:26:37.093 -> [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 770 ms
2019-10-08 11:26:37.417 -> [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-08 11:26:37.609 -> [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9000"]
2019-10-08 11:26:37.626 -> [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9000 (http) with context path ''
2019-10-08 11:26:37.628 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - Started HardwaredataApplication in 1.763 seconds (JVM running for 2.649)
2019-10-08 11:26:37.629 -> [main] INFO  com.ytrj.hardwaredata.service.Server - 服务端已启动，等待客户端连接..
