2019-10-11 16:38:36.646 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - Starting HardwaredataApplication on DESKTOP-JOS257J with PID 14852 (D:\JavaObject\hardwaredata\target\classes started by DongYe in D:\JavaObject\hardwaredata)
2019-10-11 16:38:36.664 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - No active profile set, falling back to default profiles: default
2019-10-11 16:38:38.008 -> [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9000 (http)
2019-10-11 16:38:38.020 -> [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9000"]
2019-10-11 16:38:38.027 -> [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-10-11 16:38:38.028 -> [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.22]
2019-10-11 16:38:38.118 -> [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-10-11 16:38:38.118 -> [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1364 ms
2019-10-11 16:38:38.661 -> [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-11 16:38:38.855 -> [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9000"]
2019-10-11 16:38:38.881 -> [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9000 (http) with context path ''
2019-10-11 16:38:38.884 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - Started HardwaredataApplication in 2.847 seconds (JVM running for 5.222)
2019-10-11 16:38:38.886 -> [main] INFO  com.ytrj.hardwaredata.service.Server - 服务端已启动，等待客户端连接..
2019-10-11 16:38:46.432 -> [Thread-8] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
