2019-10-24 10:24:16.849 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - Starting HardwaredataApplication on DESKTOP-JOS257J with PID 15580 (D:\JavaObject\hardwaredata\target\classes started by DongYe in D:\JavaObject\hardwaredata)
2019-10-24 10:24:16.851 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - No active profile set, falling back to default profiles: default
2019-10-24 10:24:31.764 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - Starting HardwaredataApplication on DESKTOP-JOS257J with PID 8452 (D:\JavaObject\hardwaredata\target\classes started by DongYe in D:\JavaObject\hardwaredata)
2019-10-24 10:24:31.767 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - No active profile set, falling back to default profiles: default
2019-10-24 10:24:32.697 -> [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9000 (http)
2019-10-24 10:24:32.708 -> [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9000"]
2019-10-24 10:24:32.715 -> [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-10-24 10:24:32.716 -> [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.22]
2019-10-24 10:24:32.795 -> [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-10-24 10:24:32.795 -> [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 988 ms
2019-10-24 10:24:33.306 -> [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-24 10:24:33.541 -> [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9000"]
2019-10-24 10:24:33.559 -> [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9000 (http) with context path ''
2019-10-24 10:24:33.561 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - Started HardwaredataApplication in 2.277 seconds (JVM running for 3.307)
2019-10-24 10:24:34.793 -> [main] INFO  com.ytrj.hardwaredata.service.Server - 服务端已启动，等待客户端连接..
2019-10-24 10:35:40.720 -> [Thread-6] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-10-24 10:35:45.073 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - Starting HardwaredataApplication on DESKTOP-JOS257J with PID 21148 (D:\JavaObject\hardwaredata\target\classes started by DongYe in D:\JavaObject\hardwaredata)
2019-10-24 10:35:45.075 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - No active profile set, falling back to default profiles: default
2019-10-24 10:35:46.024 -> [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9000 (http)
2019-10-24 10:35:46.034 -> [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9000"]
2019-10-24 10:35:46.040 -> [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-10-24 10:35:46.041 -> [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.22]
2019-10-24 10:35:46.120 -> [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-10-24 10:35:46.120 -> [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 992 ms
2019-10-24 10:35:46.548 -> [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-24 10:35:46.772 -> [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9000"]
2019-10-24 10:35:46.799 -> [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9000 (http) with context path ''
2019-10-24 10:35:46.802 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - Started HardwaredataApplication in 2.163 seconds (JVM running for 3.192)
2019-10-24 10:35:48.087 -> [main] INFO  com.ytrj.hardwaredata.service.Server - 服务端已启动，等待客户端连接..
2019-10-24 10:36:30.859 -> [MQTT Call: ytrj] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-10-24 10:36:31.130 -> [MQTT Call: ytrj] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-10-24 11:28:49.861 -> [Thread-6] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-10-24 11:28:49.865 -> [Thread-6] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2019-10-24 11:28:49.869 -> [Thread-6] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
