2019-10-23 09:42:11.412 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - Starting HardwaredataApplication on DESKTOP-JOS257J with PID 10432 (D:\JavaObject\hardwaredata\target\classes started by DongYe in D:\JavaObject\hardwaredata)
2019-10-23 09:42:11.416 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - No active profile set, falling back to default profiles: default
2019-10-23 09:42:12.429 -> [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9000 (http)
2019-10-23 09:42:12.440 -> [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9000"]
2019-10-23 09:42:12.447 -> [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-10-23 09:42:12.447 -> [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.22]
2019-10-23 09:42:12.531 -> [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-10-23 09:42:12.531 -> [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1060 ms
2019-10-23 09:42:12.894 -> [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-23 09:42:13.168 -> [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9000"]
2019-10-23 09:42:13.185 -> [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9000 (http) with context path ''
2019-10-23 09:42:13.188 -> [main] INFO  com.ytrj.hardwaredata.HardwaredataApplication - Started HardwaredataApplication in 2.333 seconds (JVM running for 3.449)
2019-10-23 09:42:13.189 -> [main] INFO  com.ytrj.hardwaredata.service.Server - 服务端已启动，等待客户端连接..
